# U.S. Presidents table
# Collection of presidents and their inauguration date
#
# Date format: yyyy-mm-dd
#
Donald J Trump, 2017-01-20
Barack Obama, 2009-01-20 
George W. Bush, 2001-01-20
Bill Clinton, 1993-01-20
George Bush, 1989-01-20
Ronald Reagan, 1981-01-20
Jimmy Carter, 1977-01-20
Gerald R. Ford, 1974-01-20
Richard M. Nixon, 1969-01-20
Lyndon B. Johnson, 1963-11-22
John F. Kennedy, 1961-01-20
Dwight D. Eisenhower, 1953-01-20
Harry S. Truman, 1945-04-12
Franklin D. Roosevelt, 1933-03-04
Herbert Hoover, 1929-03-04
Calvin Coolidge, 1923-08-03
Warren G. Harding, 1921-03-04
Woodrow Wilson, 1913-03-04
William H. Taft, 1909-03-04
Theodore Roosevelt, 1901-09-14
William McKinley, 1897-03-04
